# commit tracker | repo https://github.com/UZDoom/UZDoom | commit URL = <repo>/commit/<sha> | status = pending|ported|adapted|skip | ours = OUR commit(s), '/' if pending/skip, 'zandronum-base' if base-inherited
sha	date	title	status	note	ours
2501dc6df68e749094b4517a48c81f9a7b4fe1d2	2014-01-13T00:48:31Z	Fixed signed overflow issue, which caused a non-intended aggressive optimization by GCC 4.8. Also, negative values of the 'limit' parameter in both ACS UniqueTID() and in 'utid' CCMD are ignored and replaced by 0.	adapted	already present (adapted): P_FindUniqueTID pre-checks INT_MAX-limit+1 == upstream end_tid rewrite; utid CCMD arg>=0 guard + ACS half present	zandronum-base
af3e619232c05279c7317b5ff74fcccf9b5cd99a	2014-01-16T10:38:53Z	Merge branch 'uniquetid_overflow_fix' of https://github.com/edward-san/zdoom	skip	merge	/
f51fcd90b3f08333fc9c2935cfedfc4c8026a7d9	2014-01-17T17:57:52Z	- Fixed scanf in IWAD picker without GTK	ported	inherited (present 1/1 (inherited))	zandronum-base
aafea851f0fa334efaaafe1271b15dbdb5330854	2014-01-17T18:11:29Z	- Remove clang check from GCC-related workaround	ported	inherited (present 3/3 (inherited))	zandronum-base
884928687dc12967bbb336ee27c09c5396c42896	2014-01-17T18:27:12Z	- Fixed overflow checking in some viewpitch code	ported	inherited (present 4/4 (inherited))	zandronum-base
2d3a80fbd91c9e0d90b460488dc97ce26335bc35	2014-01-17T19:43:00Z	Merge branch 'cmake_clang_flags_fix' of https://github.com/edward-san/zdoom into maint	skip	merge	/
9a74f96702bd14dc2f8a6bff3ca49e2940e2f8ab	2014-01-17T19:43:03Z	Merge branch 'viewpitch_overflow_fix' of https://github.com/edward-san/zdoom into maint	skip	merge	/
e126c3ec2f2b0517b80decfa124f2ed4523b6a17	2014-01-17T19:45:20Z	Merge branch 'maint'	skip	merge	/
b329a34a583933394788bd464ffaddfb0375f169	2014-01-17T22:36:59Z	- Fixed some cmake --warn-uninitialized messages	skip	cosmetic cmake --warn-uninitialized; our CMake diverged, builds clean	/
1fd1ac9babc1d779318452614bde76ae3ab5ded0	2014-01-18T00:10:33Z	Merge branch 'cmake_uninitialized_fix' of https://github.com/edward-san/zdoom into maint	skip	merge	/
6824e8c93147313be8d3db342214177afae52546	2014-01-18T00:12:06Z	Merge branch 'maint'	skip	merge	/
dc8f81c2a7ccb53f4e6aab22f5f2dac51c6162d4	2014-01-18T00:18:21Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
7954263f5c2ebd864c2cabc5415159e375bd7b2a	2014-01-18T00:19:36Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
70717cd2fab2183ce27e7eedfc03e77806d76d24	2014-01-18T01:21:49Z	- Cover the ASM_SOURCES fix for NO_ASM users too	ported	inherited (present 3/3 (inherited))	zandronum-base
6f7885210ba804d6f2ad6f5e8c03467ad983fc82	2014-01-18T19:58:39Z	- Fixed: Some setups require the dynamic linking library to be linked explicitly, so specify it when using DYN_FLUIDSYNTH	ported	inherited (present 8/8 (inherited))	zandronum-base
e5d7077d743073c5780087ee1d0b3082674f5f5d	2014-01-18T20:09:12Z	- Fixed: Shareware games couldn't bother with the actor has no frames errors since we don't load mods. - Fixed: Heretic shareware used a different border for the statusbar.	ported	inherited (present 6/6 (inherited))	zandronum-base
7af8b78b9fa5ec066cc6ed7a01d041850e36b07f	2014-01-18T20:18:35Z	- Applied Chilly's patch to fix excessive name change notifications.	ported	inherited (present 3/3 (inherited))	zandronum-base
ebcd0e9c49fc7eb4b284e623244fffb5417c638b	2014-01-18T20:40:48Z	- Removed redundant expression in R_FindPlane.	skip	files absent: src/r_plane.cpp	/
919b9283005a7431cc8c78aabaa1fe0181f6f275	2014-01-18T20:45:11Z	- Fixed: Taking an item in a Strife dialog didn't account for items that have the keep depleted flag set.	ported	inherited (present 3/3 (inherited))	zandronum-base
75fd674d31c53aa68a2e84ad74c0b2310069d084	2014-01-18T21:20:52Z	- If the player doesn't have ` bound to open the console, don't close it with that key.	ported	inherited (present 5/5 (inherited))	zandronum-base
27f6b3c9f37e4fe9cb1fe0b3b308fe9083215a60	2014-01-18T21:23:06Z	Merge branch 'maint' of github.com:rheit/zdoom into maint	skip	merge	/
811a75ebf659fc81969126b8bd1ece82a3e23371	2014-01-18T22:54:46Z	- Minor adjustments to SDL joystick code so that all axes have at least a small deadzone so that button mapping works properly.	ported	inherited (present 7/7 (inherited))	zandronum-base
efa9e0c3eec49f3a2d7aae11d8e4e4e2b4a067db	2014-01-18T23:10:48Z	Merge branch 'maint'	skip	merge	/
0442c51d54d351ef0f497191be91c7410cc96e2c	2014-01-22T01:41:29Z	Fix building with old VC++ 2005 projects.	ported	inherited (present 25/25 (inherited))	zandronum-base
7b63ee8ded88dc1593fd2a0a7b9acdeb2901b218	2014-01-22T01:48:46Z	Add more stuff to .gitignore	skip	files absent: .gitignore	/
4e53df8bca5e0dad98c6bdac9b1b5d9acf479d1d	2014-01-26T13:32:44Z	- fixed: The 'load' command in GAMEINFO only worked if the filename contained a slash.	ported	inherited (present 6/6 (inherited))	zandronum-base
5e68e5873c0e0fb9f88c92dde62f92f6a64f891f	2014-01-26T13:33:04Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
8b02bb55aa3561eeb06bf4cc6320b609f7af26b4	2014-01-31T02:30:40Z	Fix compiling with FMOD 4.36	skip	files absent: src/sound/fmodsound.cpp	/
3cff307e7756aae6e0f8c255f5a8a6eaf28270ec	2014-02-05T01:53:10Z	Add Get/SetLineActivation ACS functions	ported	inherited (present 11/11 (inherited))	zandronum-base
0db82f02cfb7bdd555a2a45d605bb7af600163a0	2014-02-12T07:30:37Z	P_HitWater ignore extra floors below real floor	ported	inherited (present 1/1 (inherited))	zandronum-base
dd5f2731282a27f811f1c8a5989028dd7922d52b	2014-02-14T01:10:48Z	Added possibly missing brackets	ported	inherited (present 1/1 (inherited))	zandronum-base
02cd6eebf443579bd9ade2e1396400ab49bd398d	2014-02-16T17:29:01Z	A_Log formatted text	ported	inherited (present 2/2 (inherited))	zandronum-base
861a0f0f0995d9de7ecc324216fced54da3511c5	2014-02-16T17:59:02Z	Merge branch 'master' of https://github.com/Gaerzi/zdoom	skip	merge	/
3e318e45552f4c88b8c385a16a5a700a4f4a0a32	2014-02-16T20:08:44Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
d7478bcd683d609404ae664342de6e6b7ed94ac2	2014-02-17T23:40:14Z	New Freedoom names	ported	inherited (present 4/4 (inherited))	zandronum-base
24903246520dd4121728de044112eb83053201a7	2014-02-18T08:59:07Z	Merge branch 'master' of https://github.com/Gaerzi/zdoom	skip	merge	/
5c23ffb7bc2b6f2c56dcb23a0caf19d3eb7c6f65	2014-02-21T15:09:51Z	Added possibly missing brackets	ported	inherited (present 1/1 (inherited))	zandronum-base
18f2644162734b98b1aa83798eef9940deab32b8	2014-02-21T15:09:52Z	A_Log formatted text	ported	inherited (present 2/2 (inherited))	zandronum-base
5c2620986ea67646a45bf1f0cc7f5e8fee0aa251	2014-02-21T15:09:53Z	New Freedoom names	ported	inherited (present 4/4 (inherited))	zandronum-base
732ee11da1a539fdf68074c2e748d84873728a83	2014-02-23T22:07:10Z	Some DOSBox Raw OPL v2 indices were off by one.	ported	inherited (present 4/4 (inherited))	zandronum-base
bd2334a2d3fa5bda4ae957e408be6301c9ec48ff	2014-02-23T23:43:55Z	Merge branch 'master' of https://github.com/Gaerzi/zdoom	skip	merge	/
9dacc9cc8d466e53d3f946dffc1e3601d1cac120	2014-02-24T04:07:37Z	The wrong value was used here.	ported	inherited (present 1/1 (inherited))	zandronum-base
3111f8f93d7a9247b98ae96e67c50e9a6be7bd3f	2014-02-24T21:18:24Z	Merge pull request #19 from edward-san/unix_no_gtk_iwadpicker_fix	skip	merge	/
78f85340d8ceae58c5da9166ed09982466ef307e	2014-02-24T21:19:35Z	Merge pull request #20 from edward-san/cmake_clang_flags_fix	skip	merge	/
d0782d779d1b955e69811fa6052997ab153ed366	2014-02-24T21:20:56Z	Merge pull request #22 from edward-san/cmake_uninitialized_fix	skip	merge	/
3437b08c1ad452f460a8fa416f36a43b23f3d46d	2014-02-24T21:22:20Z	Merge pull request #27 from Gaerzi/master	skip	merge	/
eda6632fa57912b353c179c258dab1b8ca61d18b	2014-02-24T21:35:41Z	Merge branch 'maint'	skip	merge	/
c7301a0fbbb738b84f4281308bdb06380ab256b8	2014-02-24T21:37:42Z	Some DOSBox Raw OPL v2 indices were off by one.	ported	inherited (present 4/4 (inherited))	zandronum-base
d430c18574fd6d72c751f869c4b3cd3312990b46	2014-02-24T21:37:59Z	The wrong value was used here.	ported	inherited (present 1/1 (inherited))	zandronum-base
a72c4bc6428537f8fc5254e3010c37f22860945a	2014-02-24T21:38:16Z	Merge branch 'maint'	skip	merge	/
0f7ad00d9a0ab45b75840f98df059712b48ac394	2014-02-24T21:48:41Z	Ignore the minor version number when checking for DRO v1 files	ported	inherited (present 1/1 (inherited))	zandronum-base
7052d4e14e31328b5f14803b3aca20860f9a7e45	2014-02-24T22:18:10Z	Fixed: userinfo_t::SkinChanged() was unaware of player classes	ported	inherited (present 5/6 (inherited))	zandronum-base
8644a9443a4cbb189aff83fdb958141f602be247	2014-02-24T22:25:29Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
db4763b14a0bfa0196ce41a96e96f5e724927291	2014-02-24T22:27:57Z	Delay skin setting on save load until player class is known.	ported	inherited (present 14/14 (inherited))	zandronum-base
a60918f601aa6bd094568340b26906f0f03772ae	2014-02-24T23:43:28Z	Add NoPushWindowCheck compatibility flag	ported	REVIEW->present (adapted: disablepushwindowcheck = COMPATF2_PUSHWINDOW)	zandronum-base
5a5fb9b3d19372d9323ba31fa5689fc95f94250b	2014-02-25T00:16:18Z	Clamp xy angle range in P_SetSlope()	ported	inherited (present 6/6 (inherited))	zandronum-base
1d4f4b25d74fccc8f4c5e42811707e0606ce7adb	2014-02-25T01:01:36Z	Don't free replaced textures that are used as patches.	ported	inherited (present 4/4 (inherited))	zandronum-base
e7f427aa60ac3b6b2eb6ef089b14321753b230f3	2014-02-25T01:26:50Z	Merge branch 'maint'	skip	merge	/
8c6b4c12b689875bfce1469d96ec1c489c20338c	2014-02-28T12:51:59Z	Merge remote-tracking branch 'upstream/master'	skip	merge	/
4a23b97963d8e57d4c62efa41323910df903d36e	2014-03-01T13:41:00Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
1fb757f6f120e2b7d09213b5da3f4976e1443868	2014-03-01T21:27:40Z	- Fixed useless 'array != NULL' check.	ported	inherited (present 7/7 (inherited))	zandronum-base
8924ecbef9c4335c1ba71029387275a5a829d50c	2014-03-01T22:29:10Z	Merge branch 'array_null_comparison_fix' of https://github.com/edward-san/zdoom	skip	merge	/
6d89fdbd5327b1c48bda6c1de471b0fca5d05dde	2014-03-02T11:25:04Z	Merge remote-tracking branch 'upstream/master'	skip	merge	/
79abe2d4e9e4b913c43a05c84396dbbc496441b1	2014-03-02T12:00:47Z	Made onground a player property	ported	inherited (present 12/14 (inherited))	zandronum-base
f44dc926e6880777f96f884b42e4dd95f665b097	2014-03-09T09:02:07Z	- fixed uniqueTid logic - patch by Edward-San.	ported	inherited (present 5/5 (inherited))	zandronum-base
9dad8bdbbed9a7d8c0779b926613825ec8a92374	2014-03-13T05:27:39Z	Clear old camera from previous level	ported	inherited (present 1/1 (inherited))	zandronum-base
55362d229639e3231c0226b25951cdd19abe834d	2014-03-14T07:59:24Z	Merge remote-tracking branch 'upstream/master'	skip	merge	/
40771d22a53dec3f023eae8252f3aaa204267fb1	2014-03-14T15:15:30Z	Player prediction fixes in PIT_CheckThing	adapted	adapted: CF_PREDICTING gate superseded by CLIENT_PREDICT_IsPredicting() in PIT_CheckThing [BB]/[RK]	zandronum-base
6aa56202b635c7928c1d7601ac43a8d6340d7e6b	2014-03-15T11:17:22Z	Fix two issues with GL nodes handling	ported	inherited (present 6/6 (inherited))	zandronum-base
f96f4cb0a2312a672fc848824ecdf514c9e82d77	2014-03-15T11:24:16Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
3c8e9b6dc06cc0fbd2cfeed77e48f58c5438d327	2014-03-16T10:29:04Z	Fix incorrect Maulotaur melee attack sound	ported	inherited (present 1/1 (inherited))	zandronum-base
5789ac624549907a7ff4c86edce5142083290876	2014-03-16T12:21:08Z	- Fixed new[]/delete mismatch in FNodeBuilder	ported	inherited (present 1/1 (inherited))	zandronum-base
d7e81d2cb4621ba47a944ce28d367ce7956ee2d3	2014-03-16T12:27:21Z	Merge branch 'fnodebuilder_new_delete_fix' of https://github.com/edward-san/zdoom	skip	merge	/
6a958b032c2d060bf07530aa314c1173a457c9f6	2014-03-18T10:29:14Z	Add NOBLOOD flag to Heresiarch actor	ported	REVIEW->present: +NOBLOOD in heresiarch.txt	zandronum-base
697ef02871d10c8cd01be7f445eb6f46681fd73f	2014-03-27T11:23:12Z	Added StencilColor to Set/GetActorProperty	ported	inherited (present 5/5 (inherited))	zandronum-base
d7a2435703f56ce36c00892f31c3a582bb947b7d	2014-03-27T14:34:32Z	- the ACS functions GetSectorFloorZ and GetSectorCeilingZ now interpret tag=0 as 'any sector' and return the z height of whatever sector is at those coordinates.	ported	inherited (present 6/7 (inherited))	zandronum-base
4909aa750fa44853e88647509dac2049522182a1	2014-03-28T00:49:53Z	Use more portable hqx code from googlecode hqx	ported	d2e4479	d2e4479
bf0b85008835451507d71e4d3e83270fff9cd4e7	2014-03-28T00:54:20Z	look for gme header in the proper location	ported	inherited (present 1/1 (inherited))	zandronum-base
8f97e96af187d44ae095f35511b6b94491668ddf	2014-03-28T00:54:42Z	silence a noisy warning	skip	skip: casts away a warning inside FColormap::GetFixedColormap, which our tree does not have -- uzdoom@c47c7421a removed that method and the FColormap::colormap member it touches, and that commit is already ported here (row above). CM_LITE still exists; the function being patched does not. Superseded upstream too, six weeks after it landed.	/
6e87ee80e4e5b4cac6e03fa75e955d924c46505c	2014-03-29T11:04:38Z	Merge branch 'for-upstream' of https://github.com/galtgendo/gzdoom	skip	merge	/
a97b068ed7df7ff0f04d521b69f5d81392a3e8ee	2014-03-30T10:27:27Z	Enable fighting between different types of gargoyles and golems	ported	inherited (present 3/3 (inherited))	zandronum-base
c47d77228d08840503aeeb7c4acd9e431193b9e1	2014-03-30T18:27:05Z	- increased updaterevision's buffer sizes to prevent GIT_BRANCH from cut short	ported	inherited (present 1/1 (inherited))	zandronum-base
79f6e77e2ba617e3496f7178a94811dbabad3092	2014-03-31T10:51:18Z	Remove garbage characters from info CCMD	ported	present 6/7 (inherited)	zandronum-base
016cc7ba9608f528a4f57261d093aaf89f3f32d6	2014-03-31T10:57:43Z	Missed space in flags7 line.	ported	present 2/2 (inherited)	zandronum-base
55844e00e53f6c97ab9994bc6c353d6687079c28	2014-03-31T13:59:21Z	Merge branch 'master' of https://github.com/crimsondusk/zdoom	skip	merge	/
639367df8d650758b1fecadb3bcfdae6736b79d8	2014-03-31T14:00:11Z	Merge branch 'upstream2' of https://github.com/Edward850/zdoom	skip	merge	/
e983649731ca693465d324403239b88ca8610528	2014-03-31T14:02:43Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
bd3bd0ed227a1e580ca8ebdec763c2b9ac68a7a8	2014-03-31T14:36:54Z	Merge branch 'upstream' of https://github.com/Edward850/zdoom	skip	merge	/
edcc2576673d09f353441abd4db096251877d0bd	2014-03-31T14:39:34Z	fixed: APROP_StencilColor was not implemented for CheckActorProperty.	ported	present 1/1 (inherited)	zandronum-base
a9bea7d77403fe25b3e6d93ab07011864f551d3a	2014-03-31T17:12:47Z	Merge branch 'getsectorz_take2' of https://github.com/crimsondusk/zdoom	skip	merge	/
3e41685536b1ee3de64ce905b6770bab54a95bfb	2014-04-01T21:57:42Z	Merge pull request #6 from galtgendo/for-upstream	skip	merge	/
be33d2894ac59be3d8424f145113cb8248645b2f	2014-04-02T08:25:12Z	Fixed prediction thinglist order restoration	ported	present 25/25 (inherited)	zandronum-base
546ae759fdf3abb27f01f0b70ff550e703d917b0	2014-04-02T08:25:45Z	Cleanup old prediction fix development code	ported	present 4/4 (inherited)	zandronum-base
7261af1d9ff3de3d600e8e1815bb19f7e99608e1	2014-04-02T18:23:17Z	Don't define HQX_API to anything on Windows	ported	d2e4479 | no-file-overlap: landed inside a renderer-staircase flight commit, so the cited commit's files do not share a basename with the upstream commit's; every added line verified present by content check	d2e4479
59eede6e6ced01c08c9e9af4d7f7d02386313289	2014-04-02T21:49:34Z	Merge branch 'master' of https://github.com/coelckers/gzdoom	skip	merge	/
072db7920df86da942dafa4e438ad92e2e037fa8	2014-04-02T21:51:24Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
3670acbe63f07583d03c165055303f3e76ddc398	2014-04-03T13:44:33Z	Don't compile some unused DUMB tables spotted by Clang	skip	no dumb/ music library in our tree (DUMB decoder absent)	/
4406578522f991e7f1edcc54a38aa788993edec7	2014-04-03T13:46:47Z	Fixed: DSMF loader wrote outside filename array's bounds	ported	present 1/1 (inherited)	zandronum-base
1d1289722f14bea9f32fbaad3a0c7a151f838c66	2014-04-03T13:50:09Z	Change , to && in 2 for loops in Oktalyzer loader	ported	present 2/2 (inherited)	zandronum-base
fbddfbe57658cc3d94d32dc86ecc3b3903ce1858	2014-04-03T14:19:51Z	Upgrade game-music-emu to version 0.6.0	ported	present 25/25 (inherited)	zandronum-base
0aba6e09f3c53b012e0da38552e42253935aed52	2014-04-03T18:14:38Z	Disambiguate which abs type we want.	ported	d2e4479 | no-file-overlap: landed inside a renderer-staircase flight commit, so the cited commit's files do not share a basename with the upstream commit's; every added line verified present by content check	d2e4479
e446a8eb30102ab5e5f231500d1520111be5dd7a	2014-04-03T20:56:50Z	Merge branch 'master' of https://github.com/coelckers/gzdoom	skip	merge	/
47406a3406b0048e976edb9d92d69592112ec014	2014-04-03T21:02:43Z	- I don't think it's a good idea to put a 64 MB lookup table into the static data segment, if it's for a piece of code most people will never use...	ported	d2e4479 | no-file-overlap: landed inside a renderer-staircase flight commit, so the cited commit's files do not share a basename with the upstream commit's; every added line verified present by content check	d2e4479
43fe317dbe81545685807423784e945bc1ae2a74	2014-04-03T21:33:33Z	Use flexible array members for structs that end with var-sized arrays	ported	ported: ALREADY PRESENT. Its non-renderer half -- flexible array members for StringEntry and FTexture::columnofs, plus the matching +2 in the M_Malloc sizes -- is in our tree verbatim (stringtable.cpp:58 `char String[];`, stringtable.cpp:412 `+ 2`, textures/textures.h:143 `columnofs[];`). CORRECTION: previously skipped citing the absent software renderer's r_plane half, which swallowed the half that does apply. no-file-overlap: nothing was written for this row.	37be27d
fc97584c696ac4b7ab988b978f9fa5798ad21a5d	2014-04-03T21:50:20Z	Disable warning C4200 on VC++	ported	present 3/3 (inherited)	zandronum-base
138e7ff749281ee33960a16b34163db4783f4919	2014-04-03T22:16:40Z	Redo GME warning-silencing that was undone by commit fbddfbe57	ported	present 25/25 (inherited)	zandronum-base
1d52d75fab2929dcaac4e75ebadbed253e410d40	2014-04-03T22:23:18Z	Add new GME files to VC++ 2005 project	ported	present 25/25 (inherited)	zandronum-base
f429510cd1ca373f366422761800a55ce4490d8f	2014-04-03T22:26:59Z	We're building GME static, so don't do any DLL magic on Win32	ported	present 1/1 (inherited)	zandronum-base
940794929c2a0d31a3bc8d82354e19ead8dee8df	2014-04-03T22:51:15Z	Remove more VC++ warnings	ported	present 2/2 (inherited)	zandronum-base
d74f0450041a2219dbffce58a00e9d1d1934d50f	2014-04-05T13:37:10Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
878dcdc0a46315227ee1d558ead5dbc538f34e55	2014-04-06T09:56:51Z	Fix loading of lumps from directory on OS X	ported	present 1/1 (inherited)	zandronum-base
69af73d9b98b1f8b8f0a4b81a0c5f3dcad448f40	2014-04-06T12:35:44Z	- alternative configuration using GLEW to get extension functions. This requires GL 2.0, though so it won't be promoted to the mainline for the time being. - removed all pre GL 2.0 support.	ported	d2e4479	d2e4479
ca93e04de37cb9f105c7c8d0106868013b403395	2014-04-07T11:23:55Z	Added GetActorPowerupTics ACS function	ported	present 11/11 (inherited)	zandronum-base
bbb41e869c67cccec3c177e2cfa06b7fa7fc6b46	2014-04-07T17:54:30Z	Merge branch 'master' of https://github.com/Edward850/zdoom	skip	merge	/
580094a7924ea586bc0c789e55d51aa3dc3f2287	2014-04-10T10:32:23Z	More editing flags	adapted	ported thing half (MTF_TRANS/ADD/SUBTRACT/SPECTRE/DOUBLEHEALTH in doomdata/namedef/p_udmf/p_mobj); linedef half inherited; added [rc4l] SetThingHealth broadcast at both [EP] SpawnThing sites for C/S	f0610b6
4cac599b8899abd3385eeef4bece05c619d8aedc	2014-04-10T22:58:59Z	Less flags, more generic properties	ported	present 23/25 (inherited)	zandronum-base
101107b1e5ea3f498747f31291d10694d7dbe09f	2014-04-12T08:55:10Z	Updated documentation	ported	present 15/15 (inherited)	zandronum-base
42708386138aea39d712df72b80a410e92243b4a	2014-04-12T10:02:19Z	CANRAISE state definition	ported	present 5/7 (inherited)	zandronum-base
2205ca606fd5302eaf3ed35661d4660b09cc378f	2014-04-15T07:18:04Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
4e683d360d0852df3c8505f6339ed27c0dc9e954	2014-04-15T07:22:50Z	Merge branch 'master' of https://github.com/Edward850/zdoom	skip	merge	/
dbefac81d8e3d4575390d20070190a6f7b76d410	2014-04-15T07:26:05Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
6a3a159e098d5a5a6993f3f045f316d9093111db	2014-04-15T07:37:58Z	Merge branch 'master' into GLEW_VERSION	skip	merge	/
94b06900cbcef33f5404ae007190aaba6f246af6	2014-04-15T09:59:41Z	- got rid of a lot of stuff that's no longer required with GLEW. - replaced GLUs texture scaling with our own function. This is only used to scale down textures larger than what the hardware can handle so we do not need a dependency to an essentially deprecated library for it.	ported	d2e4479	d2e4479
745b147d185f38d710649c61aceac68a93fbbc3e	2014-04-15T14:40:53Z	- fixed typo in xlat files (they don't use exactly C syntax.)	ported	present 1/1 (inherited)	zandronum-base
e5578934ad711fa2e38369f1bbe9e1eb36fc191e	2014-04-15T15:16:33Z	Init new non-0 fields for non-UDMF maps.	ported	present 3/3 (inherited)	zandronum-base
8e3360453fa5d90cbfda05e28817060d8f98dde3	2014-04-15T15:18:55Z	Hexen too.	ported	present 3/3 (inherited)	zandronum-base
6f2fd8edbfec14a62a6a96ddf3b1050ab3ad9bcb	2014-04-15T15:22:56Z	Hexen also needs to init 0 fields.	ported	0-init via memset(&mti[i],0,...) in P_LoadThings; upstream explicit field zeroing redundant	zandronum-base
c54f5571ea174c19022354eb35dd3704d08f5ac8	2014-04-15T15:24:01Z	Typo.	ported	same field-zeroing path; effect present via memset 0-init in P_LoadThings	zandronum-base
361341e07ef6dcd7533275ccfdbaa20ea4e0bf66	2014-04-15T15:52:48Z	Merge branch 'master' of https://github.com/Gaerzi/zdoom	skip	merge	/
017c919f3991cd927b0a7ef442c29641bba7f4f9	2014-04-15T18:38:13Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
83182b703de94b7645026db155e979bf0535d778	2014-04-15T19:01:49Z	Added slow monsters, the inverse of fast monsters	ported	present 17/17 (inherited)	zandronum-base
94d47efbb5fa2b7269b50858a9dda9307c436ebb	2014-04-15T19:02:20Z	Added slow monsters to Strife's easiest skill	ported	present 1/1 (inherited)	zandronum-base
